,id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,accuracy,max_iter,prec_score,cohen_kappa_score,imb_sens,avg_prec_score,kernel,rec_score,confusion_matrix,X,imb_sens_micro,hinge_loss,imb_report_0.3,y,imb_report_0.1,imb_spec,roc_curve,hamming_loss,zero_one_loss,fbeta_score,probability,roc_auc_score,bal_report,imb_sens_spec_supp_micro,imb_sens_spec_supp,gamma,imb_spec_micro,pr_curve,C,log_loss,matthews_corrcoef,f1_score
0,HOS,0,0,0.8128490434144426,0.8875640809839108,0.742756804214223,0.7340241796200345,0.7383775821830885,0.45693860053493746,0.739813736903376,846,425,154,293,579,1139,0.5919220055710307,0.846,0.7340241796200345,0.742756804214223,0.6553585196607556,0.7910238429172511,2.8534250531987,2.7925726600002276,0.25724319578577703,0.742756804214223,0.739813736903376,-1,0.739813736903376,0.4502112683114715,[0.73402418 0.7427568 ],0.7989194042115656,rbf,0.739813736903376,"[[425 154]
 [293 846]]","[[-9.94483190e-01 -6.98989125e-01 -2.98807083e-01 ...  3.24658822e-01
  -4.47479648e-01 -7.19510363e-01]
 [-1.51091896e+00  7.27701180e-01  3.68277304e-01 ...  7.94530735e-01
   1.79067172e-03 -4.11532260e-01]
 [-3.48938483e-01 -6.91635052e-01 -4.32223960e-01 ... -8.50020959e-01
  -7.33378942e-01 -5.48411417e-01]
 ...
 [ 9.95166351e-01 -6.01680931e-01  1.24947172e-01 ...  1.18633367e+00
  -5.97236421e-01 -8.29567147e-01]
 [ 1.20973154e-01 -6.28992413e-01 -1.58980007e-01 ... -4.37899516e-01
  -6.85975298e-01 -8.53690623e-01]
 [-5.77241542e-01 -6.53730827e-02  6.99325257e-01 ...  3.20124042e-02
  -9.03391019e-01  2.04665604e+00]]",0.739813736903376,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.59      0.73      0.74      0.66      0.74      0.54       579
          1       0.85      0.74      0.73      0.79      0.74      0.55      1139

avg / total       0.76      0.74      0.74      0.75      0.74      0.55      1718
",[1 1 1 ... 0 0 0],"                   pre       rec       spe        f1       geo       iba       sup

          0       0.59      0.73      0.74      0.66      0.74      0.54       579
          1       0.85      0.74      0.73      0.79      0.74      0.55      1139

avg / total       0.76      0.74      0.74      0.75      0.74      0.55      1718
",[0.7427568  0.73402418],"(array([0.        , 0.26597582, 1.        ]), array([0.       , 0.7427568, 1.       ]), array([2, 1, 0]))",0.26018626309662396,0.26018626309662396,0.7398137369033759,True,0.7383904919171287,"              precision    recall  f1-score   support

           0       0.59      0.73      0.66       579
           1       0.85      0.74      0.79      1139

    accuracy                           0.74      1718
   macro avg       0.72      0.74      0.72      1718
weighted avg       0.76      0.74      0.75      1718
","(0.739813736903376, 0.739813736903376, None)","(array([0.73402418, 0.7427568 ]), array([0.7427568 , 0.73402418]), array([ 579, 1139], dtype=int32))",0.1,0.739813736903376,,0.1,8.986586837327897,0.45693860053493746,0.7398137369033762
9,HOS,0,1,0.8158999273671266,0.8907272390301788,0.742756804214223,0.7478411053540587,0.7452946192431639,0.4694644281085157,0.7444703143189756,846,433,146,293,579,1139,0.5964187327823691,0.8528225806451613,0.7478411053540587,0.742756804214223,0.6636015325670498,0.7939934303144063,2.907136583611852,2.9455903400002397,0.25724319578577703,0.742756804214223,0.7444703143189756,-1,0.7444703143189756,0.4617771440723566,[0.74784111 0.7427568 ],0.8039869224080594,rbf,0.7444703143189756,"[[433 146]
 [293 846]]","[[-1.0087702  -0.69190201 -0.28940367 ...  0.33266093 -0.44266478
  -0.72648078]
 [-1.52874239  0.74744875  0.35784334 ...  0.81518088  0.01116028
  -0.41622984]
 [-0.35880496 -0.68448268 -0.41885308 ... -0.87363895 -0.73146254
  -0.55411915]
 ...
 [-0.56679485  0.57977182 -0.41885308 ...  2.17313095  3.24568808
   0.76272005]
 [-0.4152793  -0.41160809 -0.28041912 ... -0.10129483 -0.26366922
   0.27955907]
 [-0.44969209  1.24840463 -0.05274579 ...  1.46666872 -1.04474621
   3.05917454]]",0.7444703143189756,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.60      0.75      0.74      0.66      0.75      0.56       579
          1       0.85      0.74      0.75      0.79      0.75      0.55      1139

avg / total       0.77      0.74      0.75      0.75      0.75      0.56      1718
",[1 1 1 ... 0 0 0],"                   pre       rec       spe        f1       geo       iba       sup

          0       0.60      0.75      0.74      0.66      0.75      0.56       579
          1       0.85      0.74      0.75      0.79      0.75      0.56      1139

avg / total       0.77      0.74      0.75      0.75      0.75      0.56      1718
",[0.7427568  0.74784111],"(array([0.        , 0.25215889, 1.        ]), array([0.       , 0.7427568, 1.       ]), array([2, 1, 0]))",0.25552968568102447,0.2555296856810244,0.7444703143189756,True,0.7452989547841409,"              precision    recall  f1-score   support

           0       0.60      0.75      0.66       579
           1       0.85      0.74      0.79      1139

    accuracy                           0.74      1718
   macro avg       0.72      0.75      0.73      1718
weighted avg       0.77      0.74      0.75      1718
","(0.7444703143189756, 0.7444703143189756, None)","(array([0.74784111, 0.7427568 ]), array([0.7427568 , 0.74784111]), array([ 579, 1139], dtype=int32))",0.1,0.7444703143189756,,0.1,8.825750627817579,0.4694644281085157,0.7444703143189757
18,HOS,0,2,0.8145283942979403,0.8884645463014892,0.733099209833187,0.7426597582037997,0.7378639996056938,0.45461373029615154,0.7363213038416764,835,430,149,304,579,1139,0.5858310626702997,0.8485772357723578,0.7426597582037997,0.733099209833187,0.6549885757806551,0.7866227037211493,2.782531133533315,2.8487546476068144,0.266900790166813,0.733099209833187,0.7363213038416764,-1,0.7363213038416764,0.44638281586783535,[0.74265976 0.73309921],0.7990412428199278,rbf,0.7363213038416764,"[[430 149]
 [304 835]]","[[-0.99922483 -0.68053585 -0.30480009 ...  0.34712167 -0.43834454
  -0.72913163]
 [-1.5210773   0.71202395  0.3855417  ...  0.82029603  0.01504187
  -0.41787436]
 [-0.34690926 -0.67335771 -0.44286845 ... -0.83581424 -0.72686317
  -0.55621093]
 ...
 [ 0.39167336  0.0356068  -0.01167862 ...  0.90209464 -0.96984628
   0.24741925]
 [-0.47737237  1.17319708  1.47811137 ... -0.23805344  0.1686999
   2.26557986]
 [ 2.35935862 -0.13640945  0.39529555 ...  1.74843725 -0.76690565
  -0.97861159]]",0.7363213038416764,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.59      0.74      0.73      0.65      0.74      0.55       579
          1       0.85      0.73      0.74      0.79      0.74      0.54      1139

avg / total       0.76      0.74      0.74      0.74      0.74      0.54      1718
",[1 1 1 ... 0 0 0],"                   pre       rec       spe        f1       geo       iba       sup

          0       0.59      0.74      0.73      0.65      0.74      0.54       579
          1       0.85      0.73      0.74      0.79      0.74      0.54      1139

avg / total       0.76      0.74      0.74      0.74      0.74      0.54      1718
",[0.73309921 0.74265976],"(array([0.        , 0.25734024, 1.        ]), array([0.        , 0.73309921, 1.        ]), array([2, 1, 0]))",0.2636786961583236,0.2636786961583236,0.7363213038416764,True,0.7378794840184933,"              precision    recall  f1-score   support

           0       0.59      0.74      0.65       579
           1       0.85      0.73      0.79      1139

    accuracy                           0.74      1718
   macro avg       0.72      0.74      0.72      1718
weighted avg       0.76      0.74      0.74      1718
","(0.7363213038416764, 0.7363213038416764, None)","(array([0.74265976, 0.73309921]), array([0.73309921, 0.74265976]), array([ 579, 1139], dtype=int32))",0.1,0.7363213038416764,,0.1,9.10720887480305,0.45461373029615154,0.7363213038416764
27,HOS,0,3,0.8175633566395393,0.8908415249536157,0.7471466198419666,0.7115716753022453,0.7291422165650251,0.4412902137231491,0.7351571594877765,851,412,167,288,579,1139,0.5885714285714285,0.8359528487229863,0.7115716753022453,0.7471466198419666,0.6442533229085222,0.7890588780713955,2.8141671464210325,2.5904065442425073,0.2528533801580334,0.7471466198419666,0.7351571594877765,-1,0.7351571594877765,0.43630374364869096,[0.71157168 0.74714662],0.7922161322322253,rbf,0.7351571594877765,"[[412 167]
 [288 851]]","[[-1.00365862 -0.69147105 -0.29730021 ...  0.3330814  -0.44158801
  -0.74333112]
 [-0.35844734 -0.68424073 -0.43058642 ... -0.88688904 -0.72340649
  -0.56676629]
 [-1.13270088  0.12555484 -0.3328432  ... -0.22461937  2.61815546
   1.3401339 ]
 ...
 [ 0.18294111 -0.13016738 -0.24605506 ...  0.29663403 -0.555308
   0.6152987 ]
 [-0.73491583  0.07847822 -0.33317588 ... -0.12634632 -0.90785666
  -0.42897606]
 [ 0.03000303 -0.40781601  0.03174588 ...  0.51981588 -0.4113683
  -0.21436104]]",0.7351571594877765,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.59      0.71      0.75      0.64      0.73      0.53       579
          1       0.84      0.75      0.71      0.79      0.73      0.54      1139

avg / total       0.75      0.74      0.72      0.74      0.73      0.53      1718
",[1 1 0 ... 0 0 0],"                   pre       rec       spe        f1       geo       iba       sup

          0       0.59      0.71      0.75      0.64      0.73      0.53       579
          1       0.84      0.75      0.71      0.79      0.73      0.53      1139

avg / total       0.75      0.74      0.72      0.74      0.73      0.53      1718
",[0.74714662 0.71157168],"(array([0.        , 0.28842832, 1.        ]), array([0.        , 0.74714662, 1.        ]), array([2, 1, 0]))",0.2648428405122235,0.2648428405122235,0.7351571594877765,True,0.7293591475721057,"              precision    recall  f1-score   support

           0       0.59      0.71      0.64       579
           1       0.84      0.75      0.79      1139

    accuracy                           0.74      1718
   macro avg       0.71      0.73      0.72      1718
weighted avg       0.75      0.74      0.74      1718
","(0.7351571594877765, 0.7351571594877765, None)","(array([0.71157168, 0.74714662]), array([0.74714662, 0.71157168]), array([ 579, 1139], dtype=int32))",0.1,0.7351571594877765,,0.1,9.147425373955299,0.4412902137231491,0.7351571594877764
36,HOS,0,4,0.8110309470629176,0.8858009770179038,0.7585601404741001,0.7219343696027634,0.740020700263819,0.4629787135778882,0.7462165308498254,864,418,161,275,579,1139,0.6031746031746031,0.8429268292682927,0.7219343696027634,0.7585601404741001,0.6572327044025157,0.7985212569316081,2.9901208981001735,2.727989573506236,0.24143985952589986,0.7585601404741001,0.7462165308498254,-1,0.7462165308498254,0.4583114574610103,[0.72193437 0.75856014],0.7994805426803778,rbf,0.7462165308498254,"[[418 161]
 [275 864]]","[[-1.02929112 -0.71523989 -0.29236614 ...  0.34731042 -0.43059833
  -0.70742181]
 [-1.555504    0.76129431  0.34020568 ...  0.81523418  0.01842096
  -0.39390216]
 [-0.37152501 -0.70762889 -0.41888051 ... -0.82249896 -0.71633788
  -0.53324423]
 ...
 [-0.96710844 -0.27587623 -0.34154117 ...  0.10018315  0.05363051
   0.51593778]
 [ 1.47022008  1.11179659 -0.18087047 ... -1.06056119 -0.57799544
  -0.68741386]
 [ 0.50988259  0.23613524  0.76866989 ...  0.584618   -0.27684441
  -0.966946  ]]",0.7462165308498254,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.60      0.72      0.76      0.66      0.74      0.54       579
          1       0.84      0.76      0.72      0.80      0.74      0.55      1139

avg / total       0.76      0.75      0.73      0.75      0.74      0.55      1718
",[1 1 1 ... 0 0 0],"                   pre       rec       spe        f1       geo       iba       sup

          0       0.60      0.72      0.76      0.66      0.74      0.55       579
          1       0.84      0.76      0.72      0.80      0.74      0.55      1139

avg / total       0.76      0.75      0.73      0.75      0.74      0.55      1718
",[0.75856014 0.72193437],"(array([0.        , 0.27806563, 1.        ]), array([0.        , 0.75856014, 1.        ]), array([2, 1, 0]))",0.25378346915017463,0.2537834691501746,0.7462165308498254,True,0.7402472550384317,"              precision    recall  f1-score   support

           0       0.60      0.72      0.66       579
           1       0.84      0.76      0.80      1139

    accuracy                           0.75      1718
   macro avg       0.72      0.74      0.73      1718
weighted avg       0.76      0.75      0.75      1718
","(0.7462165308498254, 0.7462165308498254, None)","(array([0.72193437, 0.75856014]), array([0.75856014, 0.72193437]), array([ 579, 1139], dtype=int32))",0.1,0.7462165308498254,,0.1,8.765445426872711,0.4629787135778882,0.7462165308498254
45,HOS,0,5,0.8164124516096749,0.8875775101651752,0.7541703248463565,0.7374784110535406,0.7457776698396269,0.4722487163103514,0.7485448195576252,859,427,152,280,579,1139,0.6039603960396039,0.8496538081107814,0.7374784110535406,0.7541703248463565,0.6640746500777606,0.7990697674418605,2.9999568221070816,2.8727935400397397,0.2458296751536435,0.7541703248463565,0.7485448195576252,-1,0.7485448195576252,0.4663069287422644,[0.73747841 0.75417032],0.8037638980158356,rbf,0.7485448195576252,"[[427 152]
 [280 859]]","[[-1.02528033e+00 -6.92800833e-01 -3.01916662e-01 ...  3.37515289e-01
  -4.47525395e-01 -7.04338495e-01]
 [-1.54538022e+00  7.31475994e-01  3.90202353e-01 ...  8.20330425e-01
  -1.65020860e-03 -4.05466412e-01]
 [-3.75155472e-01 -6.85459200e-01 -4.40340465e-01 ... -8.69522553e-01
  -7.31264150e-01 -5.38298449e-01]
 ...
 [-3.27917133e-02 -4.40491380e-01 -2.66864346e-01 ...  1.60378666e+00
  -4.34394640e-01  2.76233244e-01]
 [ 9.44597459e-01 -5.92036964e-01  7.50575329e-02 ...  1.06604920e+00
  -4.28946843e-01 -7.85697705e-01]
 [-6.05045711e-01 -1.29477785e-01 -3.59988043e-01 ...  3.75805874e-01
   1.72919632e+00  7.31874430e-01]]",0.7485448195576252,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.60      0.74      0.75      0.66      0.75      0.55       579
          1       0.85      0.75      0.74      0.80      0.75      0.56      1139

avg / total       0.77      0.75      0.74      0.75      0.75      0.56      1718
",[1 1 1 ... 0 0 0],"                   pre       rec       spe        f1       geo       iba       sup

          0       0.60      0.74      0.75      0.66      0.75      0.56       579
          1       0.85      0.75      0.74      0.80      0.75      0.56      1139

avg / total       0.77      0.75      0.74      0.75      0.75      0.56      1718
",[0.75417032 0.73747841],"(array([0.        , 0.26252159, 1.        ]), array([0.        , 0.75417032, 1.        ]), array([2, 1, 0]))",0.25145518044237486,0.2514551804423748,0.7485448195576252,True,0.7458243679499486,"              precision    recall  f1-score   support

           0       0.60      0.74      0.66       579
           1       0.85      0.75      0.80      1139

    accuracy                           0.75      1718
   macro avg       0.73      0.75      0.73      1718
weighted avg       0.77      0.75      0.75      1718
","(0.7485448195576252, 0.7485448195576252, None)","(array([0.73747841, 0.75417032]), array([0.75417032, 0.73747841]), array([ 579, 1139], dtype=int32))",0.1,0.7485448195576252,,0.1,8.685024995000468,0.4722487163103514,0.7485448195576253
54,HOS,0,6,0.8154260698943563,0.8902351810734175,0.7638279192273925,0.7115716753022453,0.7372369443586395,0.4594063742595202,0.7462165308498254,870,412,167,269,579,1139,0.604992657856094,0.8389585342333655,0.7115716753022453,0.7638279192273925,0.6539682539682541,0.7996323529411765,3.01293731661434,2.648241707980002,0.23617208077260754,0.7638279192273925,0.7462165308498254,-1,0.7462165308498254,0.45566615942945266,[0.71157168 0.76382792],0.797397367121069,rbf,0.7462165308498254,"[[412 167]
 [269 870]]","[[-1.0169533  -0.70342003 -0.29222788 ...  0.33356987 -0.43773755
  -0.69556711]
 [-1.53737146  0.74510551  0.34374463 ...  0.8091505   0.01434935
  -0.39556019]
 [-1.14705784  0.14030876 -0.32614641 ... -0.20995086  2.68577191
   1.27114494]
 ...
 [ 0.67440573  0.34065639 -0.41942238 ... -0.74967636 -0.45025152
  -1.04929937]
 [-0.13073241  0.02387272  0.14392053 ...  0.02242537 -0.24931903
   1.01703888]
 [-2.86732782 -0.32272586 -0.33403712 ...  0.26562978 -0.38693427
  -0.86733047]]",0.7462165308498254,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.60      0.71      0.76      0.65      0.74      0.53       579
          1       0.84      0.76      0.71      0.80      0.74      0.55      1139

avg / total       0.76      0.75      0.73      0.75      0.74      0.55      1718
",[1 1 0 ... 0 0 0],"                   pre       rec       spe        f1       geo       iba       sup

          0       0.60      0.71      0.76      0.65      0.74      0.54       579
          1       0.84      0.76      0.71      0.80      0.74      0.55      1139

avg / total       0.76      0.75      0.73      0.75      0.74      0.54      1718
",[0.76382792 0.71157168],"(array([0.        , 0.28842832, 1.        ]), array([0.        , 0.76382792, 1.        ]), array([2, 1, 0]))",0.25378346915017463,0.2537834691501746,0.7462165308498254,True,0.7376997972648188,"              precision    recall  f1-score   support

           0       0.60      0.71      0.65       579
           1       0.84      0.76      0.80      1139

    accuracy                           0.75      1718
   macro avg       0.72      0.74      0.73      1718
weighted avg       0.76      0.75      0.75      1718
","(0.7462165308498254, 0.7462165308498254, None)","(array([0.71157168, 0.76382792]), array([0.76382792, 0.71157168]), array([ 579, 1139], dtype=int32))",0.1,0.7462165308498254,,0.1,8.765448219413212,0.4594063742595202,0.7462165308498254
63,HOS,0,7,0.8142789557242742,0.886831429556331,0.7445127304653204,0.7374784110535406,0.740987223555641,0.4619319250207913,0.7421420256111758,848,427,152,291,579,1139,0.5947075208913649,0.848,0.7374784110535406,0.7445127304653204,0.6584425597532768,0.7928938756428238,2.8865563924054385,2.836005729864609,0.2554872695346796,0.7445127304653204,0.7421420256111758,-1,0.7421420256111758,0.45513107799101093,[0.73747841 0.74451273],0.8007297989270248,rbf,0.7421420256111758,"[[427 152]
 [291 848]]","[[-1.53426946  0.74283375  0.38469584 ...  0.80492144  0.00408052
  -0.4013139 ]
 [-0.36098746 -0.6755221  -0.44382188 ... -0.85307113 -0.72687078
  -0.53442811]
 [ 0.9426592  -0.74166305 -0.11241479 ... -0.58237846  0.09883347
  -0.46787101]
 ...
 [ 1.69713224 -0.49343185 -0.33050768 ... -0.59823127  1.40104712
  -0.77445287]
 [ 1.77116068 -0.57162086 -0.28478038 ...  0.97633023 -0.96348592
   0.041488  ]
 [-0.01840884 -0.73840726 -0.27725609 ... -0.58160733 -0.69034051
   0.81984155]]",0.7421420256111758,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.59      0.74      0.74      0.66      0.74      0.55       579
          1       0.85      0.74      0.74      0.79      0.74      0.55      1139

avg / total       0.76      0.74      0.74      0.75      0.74      0.55      1718
",[1 1 1 ... 0 0 0],"                   pre       rec       spe        f1       geo       iba       sup

          0       0.59      0.74      0.74      0.66      0.74      0.55       579
          1       0.85      0.74      0.74      0.79      0.74      0.55      1139

avg / total       0.76      0.74      0.74      0.75      0.74      0.55      1718
",[0.74451273 0.73747841],"(array([0.        , 0.26252159, 1.        ]), array([0.        , 0.74451273, 1.        ]), array([2, 1, 0]))",0.25785797438882424,0.2578579743888242,0.7421420256111758,True,0.7409955707594305,"              precision    recall  f1-score   support

           0       0.59      0.74      0.66       579
           1       0.85      0.74      0.79      1139

    accuracy                           0.74      1718
   macro avg       0.72      0.74      0.73      1718
weighted avg       0.76      0.74      0.75      1718
","(0.7421420256111758, 0.7421420256111758, None)","(array([0.73747841, 0.74451273]), array([0.74451273, 0.73747841]), array([ 579, 1139], dtype=int32))",0.1,0.7421420256111758,,0.1,8.90616966341957,0.4619319250207913,0.7421420256111758
72,HOS,0,8,0.8183579208498805,0.8911947353095969,0.7673397717295873,0.7150259067357513,0.7407211459485632,0.46637459195086084,0.7497089639115251,874,414,165,265,579,1139,0.6097201767304861,0.8411934552454283,0.7150259067357513,0.7673397717295873,0.65818759936407,0.8025711662075299,3.0732622934793232,2.6926650171601882,0.23266022827041266,0.7673397717295873,0.7497089639115251,-1,0.7497089639115251,0.4627196969807166,[0.71502591 0.76733977],0.7997303208201845,rbf,0.7497089639115251,"[[414 165]
 [265 874]]","[[-1.00263398 -0.69005573 -0.30197742 ...  0.34170853 -0.44585061
  -0.7267219 ]
 [-1.52029293  0.74527155  0.37994897 ...  0.83644179  0.00958728
  -0.41578058]
 [-0.35556029 -0.68265714 -0.4383627  ... -0.89512462 -0.73567471
  -0.55397672]
 ...
 [-0.68356054 -0.35086936 -0.34257942 ...  0.35815879  2.01503507
   0.11079593]
 [ 0.07376303 -0.42683764  0.05219029 ...  0.40948908 -0.40718101
  -0.39626601]
 [ 0.41627254 -0.00486037  0.16493725 ...  0.5433147  -0.92938727
   0.84314584]]",0.7497089639115251,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.61      0.72      0.77      0.66      0.74      0.54       579
          1       0.84      0.77      0.72      0.80      0.74      0.56      1139

avg / total       0.76      0.75      0.73      0.75      0.74      0.55      1718
",[1 1 1 ... 0 0 0],"                   pre       rec       spe        f1       geo       iba       sup

          0       0.61      0.72      0.77      0.66      0.74      0.55       579
          1       0.84      0.77      0.72      0.80      0.74      0.55      1139

avg / total       0.76      0.75      0.73      0.75      0.74      0.55      1718
",[0.76733977 0.71502591],"(array([0.        , 0.28497409, 1.        ]), array([0.        , 0.76733977, 1.        ]), array([2, 1, 0]))",0.25029103608847497,0.2502910360884749,0.7497089639115251,True,0.7411828392326693,"              precision    recall  f1-score   support

           0       0.61      0.72      0.66       579
           1       0.84      0.77      0.80      1139

    accuracy                           0.75      1718
   macro avg       0.73      0.74      0.73      1718
weighted avg       0.76      0.75      0.75      1718
","(0.7497089639115251, 0.7497089639115251, None)","(array([0.71502591, 0.76733977]), array([0.76733977, 0.71502591]), array([ 579, 1139], dtype=int32))",0.1,0.7497089639115251,,0.1,8.644822923974141,0.46637459195086084,0.749708963911525
81,HOS,0,9,0.8123721532538466,0.8871280177208178,0.7647058823529411,0.7046632124352331,0.7340709118518066,0.4541595249026505,0.7444703143189756,871,408,171,268,579,1139,0.6035502958579881,0.8358925143953935,0.7046632124352331,0.7647058823529411,0.650199203187251,0.7987161852361302,2.99481865284974,2.5892672858617125,0.23529411764705888,0.7647058823529411,0.7444703143189756,-1,0.7444703143189756,0.45080325818003875,[0.70466321 0.76470588],0.7952072661955323,rbf,0.7444703143189756,"[[408 171]
 [268 871]]","[[-1.02758952 -0.69194418 -0.29846972 ...  0.34987532 -0.43816208
  -0.72060548]
 [-1.55273352  0.7264749   0.39224665 ...  0.83337659  0.01264057
  -0.40625804]
 [-0.37115952 -0.68463274 -0.436613   ... -0.85887788 -0.7250365
  -0.54596801]
 ...
 [-1.06402689  0.113894   -0.27700683 ...  1.04059143  0.35812311
   2.66921114]
 [ 0.11191727 -0.08769485 -0.26234484 ... -5.14131776 -0.60540944
  -1.55886531]
 [ 1.51286867  1.04922952 -0.06500239 ... -0.16994703 -0.86784464
  -0.72833603]]",0.7444703143189756,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.60      0.70      0.76      0.65      0.73      0.53       579
          1       0.84      0.76      0.70      0.80      0.73      0.55      1139

avg / total       0.76      0.74      0.72      0.75      0.73      0.54      1718
",[1 1 1 ... 0 0 0],"                   pre       rec       spe        f1       geo       iba       sup

          0       0.60      0.70      0.76      0.65      0.73      0.54       579
          1       0.84      0.76      0.70      0.80      0.73      0.54      1139

avg / total       0.76      0.74      0.72      0.75      0.73      0.54      1718
",[0.76470588 0.70466321],"(array([0.        , 0.29533679, 1.        ]), array([0.        , 0.76470588, 1.        ]), array([2, 1, 0]))",0.25552968568102447,0.2555296856810244,0.7444703143189756,True,0.7346845473940872,"              precision    recall  f1-score   support

           0       0.60      0.70      0.65       579
           1       0.84      0.76      0.80      1139

    accuracy                           0.74      1718
   macro avg       0.72      0.73      0.72      1718
weighted avg       0.76      0.74      0.75      1718
","(0.7444703143189756, 0.7444703143189756, None)","(array([0.70466321, 0.76470588]), array([0.76470588, 0.70466321]), array([ 579, 1139], dtype=int32))",0.1,0.7444703143189756,,0.1,8.825762263403,0.4541595249026505,0.7444703143189757
1,HOS,1,0,0.9085515731309924,0.9378668762408529,1.0,0.12953367875647667,0.35990787537434726,0.29966390191437126,0.7066356228172294,1139,75,504,0,579,1139,1.0,0.6932440657334145,0.12953367875647667,1.0,0.2293577981651376,0.8188353702372394,inf,1.1488095238095237,0.0,1.0,0.7066356228172294,-1,0.7066356228172294,0.16479827764820276,[0.12953368 1.        ],0.6932440657334145,rbf,0.7066356228172294,"[[  75  504]
 [   0 1139]]","[[-9.94483190e-01 -6.98989125e-01 -2.98807083e-01 ...  3.24658822e-01
  -4.47479648e-01 -7.19510363e-01]
 [-1.51091896e+00  7.27701180e-01  3.68277304e-01 ...  7.94530735e-01
   1.79067172e-03 -4.11532260e-01]
 [-3.48938483e-01 -6.91635052e-01 -4.32223960e-01 ... -8.50020959e-01
  -7.33378942e-01 -5.48411417e-01]
 ...
 [ 9.95166351e-01 -6.01680931e-01  1.24947172e-01 ...  1.18633367e+00
  -5.97236421e-01 -8.29567147e-01]
 [ 1.20973154e-01 -6.28992413e-01 -1.58980007e-01 ... -4.37899516e-01
  -6.85975298e-01 -8.53690623e-01]
 [-5.77241542e-01 -6.53730827e-02  6.99325257e-01 ...  3.20124042e-02
  -9.03391019e-01  2.04665604e+00]]",0.7066356228172294,,"                   pre       rec       spe        f1       geo       iba       sup

          0       1.00      0.13      1.00      0.23      0.36      0.10       579
          1       0.69      1.00      0.13      0.82      0.36      0.16      1139

avg / total       0.80      0.71      0.42      0.62      0.36      0.14      1718
",[1 1 1 ... 0 0 0],"                   pre       rec       spe        f1       geo       iba       sup

          0       1.00      0.13      1.00      0.23      0.36      0.12       579
          1       0.69      1.00      0.13      0.82      0.36      0.14      1139

avg / total       0.80      0.71      0.42      0.62      0.36      0.13      1718
",[1.         0.12953368],"(array([0.        , 0.87046632, 1.        ]), array([0., 1., 1.]), array([2, 1, 0]))",0.29336437718277064,0.29336437718277064,0.7066356228172294,True,0.5647668393782384,"              precision    recall  f1-score   support

           0       1.00      0.13      0.23       579
           1       0.69      1.00      0.82      1139

    accuracy                           0.71      1718
   macro avg       0.85      0.56      0.52      1718
weighted avg       0.80      0.71      0.62      1718
","(0.7066356228172294, 0.7066356228172294, None)","(array([0.12953368, 1.        ]), array([1.        , 0.12953368]), array([ 579, 1139], dtype=int32))",1.0,0.7066356228172294,,0.1,10.13268119915006,0.29966390191437126,0.7066356228172294
